Symbol,Date,Open,High,Low,Close,Volume
NESTLE,1-Sep-22,5780,5800,5711,5729,200
NESTLE,2-Sep-22,5638.13,5764.99,5620,5764.99,160
NESTLE,7-Sep-22,5760,5760,5760,5760,20
NESTLE,8-Sep-22,5760,5760,5760,5760,20
NESTLE,9-Sep-22,5760,5760,5760,5760,40
NESTLE,13-Sep-22,5760,5760,5760,5760,20
NESTLE,14-Sep-22,5700,5700,5700,5700,100
NESTLE,15-Sep-22,5700,5750,5660,5660,140
NESTLE,20-Sep-22,5650,5650,5650,5650,20
NESTLE,22-Sep-22,5650,5650,5650,5650,20
NESTLE,23-Sep-22,5705,5705,5705,5705,60
NESTLE,26-Sep-22,5700,5700,5600,5600,240
NESTLE,27-Sep-22,5700,5700,5700,5700,20
NESTLE,4-Oct-22,5700,5700,5700,5700,40
NESTLE,6-Oct-22,5581,5750,5500,5750,160
NESTLE,10-Oct-22,5869,5869,5775,5850,960
NESTLE,11-Oct-22,5800,5800,5780,5780,40
NESTLE,12-Oct-22,6000,6000,5980,5980,40
NESTLE,14-Oct-22,6000,6000,6000,6000,40
NESTLE,17-Oct-22,6000,6000,6000,6000,40
NESTLE,18-Oct-22,5850,5850,5850,5850,20
NESTLE,19-Oct-22,6000,6050,5920,6000,600
NESTLE,20-Oct-22,6200,6200,6000,6000,160
NESTLE,21-Oct-22,6000,6000,6000,6000,20
NESTLE,24-Oct-22,5999.99,6010,5999.99,6007.5,440
NESTLE,25-Oct-22,6150,6200,6010,6010,1280
NESTLE,27-Oct-22,5990,5990,5980,5980,40
NESTLE,28-Oct-22,5980,5980,5980,5980,20
NESTLE,31-Oct-22,5899.99,5899.99,5700,5700,60
NESTLE,1-Nov-22,5800,5800,5800,5800,20
NESTLE,2-Nov-22,5790,5790,5770,5770,40
NESTLE,3-Nov-22,5650.01,5650.01,5650,5650,80
NESTLE,7-Nov-22,5651,5651,5651,5651,20
NESTLE,11-Nov-22,5700,5900,5700,5900,60
NESTLE,15-Nov-22,5900,5900,5900,5900,20
